,ysp,ysp_m1,ysp_p1
673,3.06186217848,2.7156951228,2.52487623459
674,2.7156951228,1.17260393996,3.06186217848
675,1.17260393996,2.09165006634,2.7156951228
676,2.09165006634,0.612372435696,1.17260393996
677,0.612372435696,2.09165006634,2.09165006634
678,2.09165006634,3.06186217848,0.612372435696
679,3.06186217848,2.8939592257,2.09165006634
680,2.8939592257,1.17260393996,3.06186217848
681,1.17260393996,1.83711730709,2.8939592257
682,1.83711730709,4.04660351406,1.17260393996
683,4.04660351406,3.65718470958,1.83711730709
684,3.65718470958,3.79143772203,4.04660351406
685,3.79143772203,3.92109678534,3.65718470958
686,3.92109678534,3.22102468168,3.79143772203
687,3.22102468168,4.28660704987,3.92109678534
688,4.28660704987,3.51781181987,3.22102468168
689,3.51781181987,3.65718470958,4.28660704987
690,3.65718470958,3.06186217848,3.51781181987
691,3.06186217848,2.8939592257,3.65718470958
692,2.8939592257,3.22102468168,3.06186217848
693,3.22102468168,2.52487623459,2.8939592257
694,2.52487623459,2.7156951228,3.22102468168
695,2.7156951228,4.28660704987,2.52487623459
696,4.28660704987,3.51781181987,2.7156951228
697,3.51781181987,2.52487623459,4.28660704987
698,2.52487623459,3.51781181987,3.51781181987
699,3.51781181987,2.31840462387,2.52487623459
700,2.31840462387,2.52487623459,3.51781181987
701,2.52487623459,2.31840462387,2.31840462387
702,2.31840462387,1.54110350074,2.52487623459
703,1.54110350074,0.612372435696,2.31840462387
704,0.612372435696,2.31840462387,1.54110350074
705,2.31840462387,1.54110350074,0.612372435696
706,1.54110350074,2.31840462387,2.31840462387
707,2.31840462387,2.09165006634,1.54110350074
708,2.09165006634,1.17260393996,2.31840462387
709,1.17260393996,1.17260393996,2.09165006634
710,1.17260393996,1.17260393996,1.17260393996
711,1.17260393996,0.612372435696,1.17260393996
712,0.612372435696,1.54110350074,1.17260393996
713,1.54110350074,2.09165006634,0.612372435696
714,2.09165006634,1.83711730709,1.54110350074
715,1.83711730709,1.17260393996,2.09165006634
716,1.17260393996,1.17260393996,1.83711730709
717,1.17260393996,1.17260393996,1.17260393996
718,1.17260393996,1.83711730709,1.17260393996
719,1.83711730709,1.17260393996,1.17260393996
720,1.17260393996,1.83711730709,1.83711730709
721,1.83711730709,1.17260393996,1.17260393996
722,1.17260393996,1.83711730709,1.83711730709
723,1.83711730709,1.17260393996,1.17260393996
724,1.17260393996,2.52487623459,1.83711730709
725,2.52487623459,1.54110350074,1.17260393996
726,1.54110350074,2.7156951228,2.52487623459
727,2.7156951228,2.8939592257,1.54110350074
728,2.8939592257,2.8939592257,2.7156951228
729,2.8939592257,2.31840462387,2.8939592257
730,2.31840462387,3.06186217848,2.8939592257
731,3.06186217848,3.51781181987,2.31840462387
732,3.51781181987,4.28660704987,3.06186217848
733,4.28660704987,3.79143772203,3.51781181987
734,3.79143772203,3.92109678534,4.28660704987
735,3.92109678534,4.16833300013,3.79143772203
736,4.16833300013,3.79143772203,3.92109678534
737,3.79143772203,2.8939592257,4.16833300013
738,2.8939592257,2.09165006634,3.79143772203
739,2.09165006634,2.31840462387,2.8939592257
740,2.31840462387,3.06186217848,2.09165006634
741,3.06186217848,1.54110350074,2.31840462387
742,1.54110350074,2.7156951228,3.06186217848
743,2.7156951228,2.52487623459,1.54110350074
744,2.52487623459,2.31840462387,2.7156951228
745,2.31840462387,2.7156951228,2.52487623459
746,2.7156951228,2.31840462387,2.31840462387
747,2.31840462387,2.31840462387,2.7156951228
748,2.31840462387,1.54110350074,2.31840462387
749,1.54110350074,2.09165006634,2.31840462387
750,2.09165006634,2.7156951228,1.54110350074
751,2.7156951228,1.83711730709,2.09165006634
752,1.83711730709,2.09165006634,2.7156951228
753,2.09165006634,2.31840462387,1.83711730709
754,2.31840462387,2.52487623459,2.09165006634
755,2.52487623459,2.31840462387,2.31840462387
756,2.31840462387,1.54110350074,2.52487623459
757,1.54110350074,2.09165006634,2.31840462387
758,2.09165006634,0.612372435696,1.54110350074
759,0.612372435696,1.83711730709,2.09165006634
760,1.83711730709,1.83711730709,0.612372435696
761,1.83711730709,2.09165006634,1.83711730709
762,2.09165006634,2.8939592257,1.83711730709
763,2.8939592257,2.31840462387,2.09165006634
764,2.31840462387,2.31840462387,2.8939592257
